iter	Passed	Remaining
175	3285	15384
176	3303	15359
177	3321	15340
178	3340	15320
179	3358	15298
180	3376	15276
181	3394	15255
182	3412	15233
183	3430	15213
184	3448	15191
185	3466	15171
186	3484	15149
187	3502	15128
188	3520	15104
189	3538	15084
190	3557	15066
191	3575	15046
192	3593	15025
193	3611	15004
194	3629	14982
195	3647	14963
196	3666	14944
197	3684	14922
198	3702	14901
199	3719	14878
200	3738	14859
201	3756	14838
202	3774	14819
203	3792	14798
204	3810	14777
205	3828	14757
206	3846	14735
207	3864	14716
208	3882	14694
209	3900	14673
210	3918	14651
211	3936	14633
212	3954	14611
213	3972	14589
214	3989	14567
215	4007	14546
216	4026	14527
217	4044	14507
218	4063	14489
219	4081	14470
220	4099	14450
221	4120	14439
222	4143	14437
223	4165	14430
224	4186	14419
225	4205	14404
226	4224	14386
227	4242	14366
228	4261	14348
229	4280	14329
230	4298	14309
231	4318	14296
232	4337	14277
233	4354	14255
234	4372	14234
235	4390	14213
236	4408	14191
237	4425	14168
238	4442	14146
239	4461	14127
240	4478	14106
241	4503	14105
242	4527	14102
243	4548	14093
244	4569	14080
245	4589	14065
246	4607	14045
247	4626	14027
248	4643	14005
249	4661	13985
250	4679	13965
251	4698	13945
252	4716	13925
253	4733	13903
254	4752	13883
255	4770	13863
256	4789	13845
257	4807	13825
258	4825	13806
259	4844	13788
260	4862	13766
261	4880	13746
262	4898	13726
263	4917	13709
264	4935	13687
265	4954	13671
266	4972	13650
267	4990	13630
268	5008	13610
269	5026	13590
270	5044	13568
271	5062	13548
272	5080	13528
273	5098	13509
274	5116	13489
275	5135	13470
276	5154	13453
277	5174	13437
278	5192	13417
279	5210	13397
280	5228	13378
281	5246	13357
282	5264	13338
283	5282	13317
284	5299	13296
285	5317	13274
286	5335	13255
287	5354	13238
288	5372	13218
289	5390	13198
290	5409	13178
291	5427	13159
292	5445	13138
293	5462	13117
294	5481	13099
295	5498	13078
296	5516	13056
297	5534	13037
298	5552	13017
299	5570	12996
300	5589	12979
301	5607	12960
302	5625	12941
303	5643	12920
304	5661	12900
305	5679	12880
306	5697	12861
307	5716	12843
308	5734	12823
309	5752	12803
310	5770	12784
311	5788	12765
312	5806	12745
313	5825	12727
314	5844	12708
315	5861	12688
316	5880	12670
317	5899	12652
318	5918	12633
319	5936	12614
320	5954	12595
321	5972	12574
322	5990	12555
323	6008	12535
324	6026	12516
325	6045	12498
326	6063	12478
327	6081	12458
328	6098	12438
329	6117	12419
330	6135	12400
331	6152	12379
332	6171	12361
333	6190	12343
334	6208	12323
335	6226	12305
336	6245	12286
337	6263	12266
338	6281	12247
339	6298	12227
340	6316	12206
341	6335	12188
342	6354	12170
343	6372	12152
344	6390	12133
345	6409	12114
346	6426	12094
347	6445	12075
348	6463	12055
349	6481	12036
350	6498	12015
351	6517	11997
352	6535	11978
353	6553	11959
354	6571	11940
355	6589	11920
356	6607	11901
357	6628	11887
358	6651	11876
359	6672	11862
360	6692	11846
361	6712	11830
362	6731	11813
363	6750	11794
364	6768	11774
365	6786	11755
366	6804	11735
367	6822	11716
368	6840	11697
369	6859	11680
370	6878	11661
371	6896	11641
372	6914	11623
373	6932	11604
374	6951	11586
375	6970	11567
376	6987	11547
377	7005	11528
378	7023	11508
379	7041	11488
380	7059	11468
381	7077	11450
382	7095	11430
383	7113	11411
384	7131	11392
385	7150	11374
386	7168	11354
387	7186	11334
388	7204	11316
389	7223	11297
390	7240	11278
391	7259	11259
392	7276	11238
393	7295	11221
394	7313	11202
395	7331	11182
396	7349	11163
397	7367	11144
398	7385	11124
399	7403	11105
400	7422	11087
401	7440	11068
402	7459	11050
403	7478	11032
